"cap-surface","cap-color","spore-print-color","habitat","class"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"smoothcaly","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","black","paths","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"fibrousmooth","brown","black","woods","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","browhiten","paths","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"fibrousmooth","gray","black","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","grasses","poisonous"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"smooth","gray","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
